Orbit Number,Down Orbits,Up Orbits,Labels,EQtime,,,
2763,1137_027630_20050108_102007_20050108_105824.pkl,1137_027631_20050108_111037_20050108_114822.pkl,0,,,,
2764,1137_027640_20050108_120037_20050108_123753.pkl,1137_027641_20050108_125107_20050108_132725.pkl,0,,,,
2765,1137_027650_20050108_134107_20050108_141656.pkl,1137_027651_20050108_143107_20050108_150555.pkl,1,08-01-2005 14:59,,,
2766,1137_027660_20050108_152037_20050108_155522.pkl,1137_027661_20050108_161037_20050108_164426.pkl,1,08-01-2005 16:08,,,
2767,1137_027670_20050108_165937_20050108_173325.pkl,1137_027671_20050108_174907_20050108_182224.pkl,1,08-01-2005 18:45,,,
2768,1137_027680_20050108_183737_20050108_191125.pkl,1137_027681_20050108_192707_20050108_200024.pkl,0,,,,
2769,1137_027690_20050108_201537_20050108_204922.pkl,1137_027691_20050108_210437_20050108_213826.pkl,0,,,,
2770,1137_027700_20050108_215337_20050108_222726.pkl,1137_027701_20050108_224237_20050108_231556.pkl,0,,,,
2771,1137_027710_20050108_233137_20050109_000525.pkl,1137_027711_20050109_002037_20050109_005425.pkl,1,09-01-2005 01:07,,,
2772,1137_027720_20050109_010937_20050109_014353.pkl,1137_027721_20050109_015907_20050109_023326.pkl,1,09-01-2005 01:59,,,
2773,1137_027730_20050109_024807_20050109_032253.pkl,1137_027731_20050109_033737_20050109_041256.pkl,0,,,,
2774,1137_027740_20050109_042637_20050109_050253.pkl,1137_027741_20050109_051607_20050109_055253.pkl,0,,,,
2776,1137_027760_20050109_074507_20050109_082354.pkl,1137_027761_20050109_083507_20050109_091426.pkl,0,,,,
2777,1137_027770_20050109_092507_20050109_100424.pkl,1137_027771_20050109_101537_20050109_105425.pkl,0,,,,
2778,1137_027780_20050109_110607_20050109_114352.pkl,1137_027781_20050109_115637_20050109_123323.pkl,0,,,,
2779,1137_027790_20050109_124637_20050109_132252.pkl,1137_027791_20050109_133707_20050109_141226.pkl,0,,,,
2780,1137_027800_20050109_142637_20050109_150154.pkl,1137_027801_20050109_151637_20050109_155055.pkl,1,09-01-2005 16:27,,,
2781,1137_027810_20050109_160607_20050109_164023.pkl,1137_027811_20050109_165537_20050109_172925.pkl,1,09-01-2005 17:16,,,
2784,1137_027840_20050109_210007_20050109_213355.pkl,1137_027841_20050109_214937_20050109_222252.pkl,1,09-01-2005 22:12,,,
2785,1137_027850_20050109_223807_20050109_231154.pkl,1137_027851_20050109_232707_20050110_000054.pkl,1,09-01-2005 23:18,,,
2786,1137_027860_20050110_001607_20050110_004954.pkl,1137_027861_20050110_010537_20050110_013924.pkl,0,,,,
2787,1137_027870_20050110_015437_20050110_022852.pkl,1137_027871_20050110_024337_20050110_031825.pkl,0,,,,
2788,1137_027880_20050110_033307_20050110_040822.pkl,1137_027881_20050110_042237_20050110_045823.pkl,0,,,,
2789,1137_027890_20050110_051137_20050110_054852.pkl,1137_027891_20050110_060137_20050110_063853.pkl,0,,,,
2790,1137_027900_20050110_065107_20050110_072924.pkl,1137_027901_20050110_074107_20050110_081953.pkl,0,,,,
2791,1137_027910_20050110_083037_20050110_090953.pkl,1137_027911_20050110_092107_20050110_095953.pkl,0,,,,
2792,1137_027920_20050110_101107_20050110_104954.pkl,1137_027921_20050110_110137_20050110_113922.pkl,0,,,,
2793,1137_027930_20050110_115207_20050110_122923.pkl,1137_027931_20050110_124237_20050110_131826.pkl,0,,,,
2794,1137_027940_20050110_133237_20050110_140754.pkl,1137_027941_20050110_142237_20050110_145723.pkl,0,,,,
2795,1137_027950_20050110_151207_20050110_154652.pkl,1137_027951_20050110_160137_20050110_163553.pkl,1,10-01-2005 16:58,,,
2796,1137_027960_20050110_165107_20050110_172453.pkl,1137_027961_20050110_174037_20050110_181354.pkl,1,10-01-2005 18:47,,,
2797,1137_027970_20050110_182907_20050110_190254.pkl,1137_027971_20050110_191837_20050110_195154.pkl,0,,,,
2798,1137_027980_20050110_200707_20050110_204052.pkl,1137_027981_20050110_205607_20050110_212955.pkl,0,,,,
2799,1137_027990_20050110_214507_20050110_221855.pkl,1137_027991_20050110_223407_20050110_230726.pkl,1,10-01-2005 23:48,,,
2800,1137_028000_20050110_232307_20050110_235655.pkl,1137_028001_20050111_001207_20050111_004555.pkl,1,10-01-2005 23:48,,,
2801,1137_028010_20050111_010107_20050111_013454.pkl,1137_028011_20050111_015007_20050111_022426.pkl,0,,,,
2802,1137_028020_20050111_023937_20050111_031423.pkl,1137_028021_20050111_032837_20050111_040356.pkl,1,11-01-2005 04:36,,,
2803,1137_028030_20050111_041807_20050111_045353.pkl,1137_028031_20050111_050737_20050111_054424.pkl,0,,,,
2804,1137_028040_20050111_055707_20050111_063453.pkl,1137_028041_20050111_064707_20050111_072452.pkl,0,,,,
2805,1137_028050_20050111_073637_20050111_081523.pkl,1137_028051_20050111_082637_20050111_090523.pkl,0,,,,
2806,1137_028060_20050111_091637_20050111_095552.pkl,1137_028061_20050111_100707_20050111_104526.pkl,1,11-01-2005 10:29,,,
2807,1137_028070_20050111_105707_20050111_113525.pkl,1137_028071_20050111_114737_20050111_122453.pkl,0,,,,
2808,1137_028080_20050111_123807_20050111_131422.pkl,1137_028081_20050111_132807_20050111_140356.pkl,0,,,,
2809,1137_028090_20050111_141807_20050111_145255.pkl,1137_028091_20050111_150807_20050111_154226.pkl,0,,,,
2810,1137_028100_20050111_155707_20050111_163124.pkl,1137_028101_20050111_164707_20050111_172053.pkl,1,11-01-2005 17:28,,,
2811,1137_028110_20050111_173607_20050111_180955.pkl,1137_028111_20050111_182507_20050111_185855.pkl,1,11-01-2005 19:19,,,
2812,1137_028120_20050111_191407_20050111_194755.pkl,1137_028121_20050111_200307_20050111_203626.pkl,0,,,,
2813,1137_028130_20050111_205137_20050111_212525.pkl,1137_028131_20050111_214107_20050111_221423.pkl,1,11-01-2005 21:46,,,
2814,1137_028140_20050111_222937_20050111_230325.pkl,1137_028141_20050111_231837_20050111_235225.pkl,0,,,,
2815,1137_028150_20050112_000737_20050112_004125.pkl,1137_028151_20050112_005707_20050112_013055.pkl,0,,,,
2816,1137_028160_20050112_014607_20050112_022022.pkl,1137_028161_20050112_023507_20050112_030956.pkl,0,,,,
2817,1137_028170_20050112_032437_20050112_035953.pkl,1137_028171_20050112_041407_20050112_044956.pkl,0,,,,
2818,1137_028180_20050112_050307_20050112_053953.pkl,1137_028181_20050112_055307_20050112_063024.pkl,0,,,,
2819,1137_028190_20050112_064237_20050112_072025.pkl,1137_028191_20050112_073207_20050112_081053.pkl,1,12-01-2005 08:40,,,
2820,1137_028200_20050112_082207_20050112_090123.pkl,1137_028201_20050112_091237_20050112_095122.pkl,1,12-01-2005 10:26,,,
2821,1137_028210_20050112_100237_20050112_104121.pkl,1137_028211_20050112_105307_20050112_113054.pkl,0,,,,
2822,1137_028220_20050112_114307_20050112_122023.pkl,1137_028221_20050112_123337_20050112_130956.pkl,1,12-01-2005 13:58,,,
2823,1137_028230_20050112_132337_20050112_135923.pkl,1137_028231_20050112_141337_20050112_144855.pkl,1,12-01-2005 13:58,,,
2824,1137_028240_20050112_150337_20050112_153755.pkl,1137_028241_20050112_155307_20050112_162725.pkl,0,,,,
2825,1137_028250_20050112_164237_20050112_171622.pkl,1137_028251_20050112_173137_20050112_180523.pkl,1,12-01-2005 18:41,,,
2828,1137_028280_20050112_213637_20050112_221025.pkl,1137_028281_20050112_222537_20050112_225856.pkl,0,,,,
2829,1137_028290_20050112_231407_20050112_234754.pkl,1137_028291_20050113_000337_20050113_003724.pkl,1,13-01-2005 00:07,,,
2830,1137_028300_20050113_005237_20050113_012625.pkl,1137_028301_20050113_014137_20050113_021554.pkl,1,13-01-2005 03:05,,,
2831,1137_028310_20050113_023037_20050113_030523.pkl,1137_028311_20050113_032007_20050113_035523.pkl,1,13-01-2005 03:05,,,
2832,1137_028320_20050113_040937_20050113_044524.pkl,1137_028321_20050113_045907_20050113_053523.pkl,1,13-01-2005 04:50,,,
2833,1137_028330_20050113_054837_20050113_062554.pkl,1137_028331_20050113_063807_20050113_071625.pkl,0,,,,
2834,1137_028340_20050113_072737_20050113_080652.pkl,1137_028341_20050113_081807_20050113_085655.pkl,0,,,,
2835,1137_028350_20050113_090807_20050113_094656.pkl,1137_028351_20050113_095807_20050113_103653.pkl,1,13-01-2005 09:56,,,
2836,1137_028360_20050113_104837_20050113_112655.pkl,1137_028361_20050113_113907_20050113_121623.pkl,0,,,,
2837,1137_028370_20050113_122907_20050113_130555.pkl,1137_028371_20050113_131937_20050113_135453.pkl,0,,,,
2838,1137_028380_20050113_140907_20050113_144426.pkl,1137_028381_20050113_145907_20050113_153356.pkl,0,,,,
2839,1137_028390_20050113_154837_20050113_162254.pkl,1137_028391_20050113_163807_20050113_171156.pkl,1,13-01-2005 17:14,,,
2840,1137_028400_20050113_172737_20050113_180125.pkl,1137_028401_20050113_181637_20050113_185024.pkl,0,,,,
2841,1137_028410_20050113_190537_20050113_193922.pkl,1137_028411_20050113_195437_20050113_202756.pkl,1,13-01-2005 20:47,,,
2842,1137_028420_20050113_204307_20050113_211654.pkl,1137_028421_20050113_213237_20050113_220556.pkl,0,,,,
2843,1137_028430_20050113_222107_20050113_225455.pkl,1137_028431_20050113_231007_20050113_234355.pkl,0,,,,
2844,1137_028440_20050113_235907_20050114_003252.pkl,1137_028441_20050114_004807_20050114_012223.pkl,0,,,,
2845,1137_028450_20050114_013707_20050114_021122.pkl,1137_028451_20050114_022637_20050114_030126.pkl,0,,,,
2846,1137_028460_20050114_031537_20050114_035054.pkl,1137_028461_20050114_040507_20050114_044056.pkl,0,,,,
2847,1137_028470_20050114_045437_20050114_053124.pkl,1137_028471_20050114_054407_20050114_062124.pkl,0,,,,
2848,1137_028480_20050114_063337_20050114_071154.pkl,1137_028481_20050114_072337_20050114_080224.pkl,1,14-01-2005 08:33,,,
2849,1137_028490_20050114_081337_20050114_085225.pkl,1137_028491_20050114_090337_20050114_094226.pkl,0,,,,
2850,1137_028500_20050114_095337_20050114_103224.pkl,1137_028501_20050114_104407_20050114_112224.pkl,0,,,,
2851,1137_028510_20050114_113437_20050114_121154.pkl,1137_028511_20050114_122507_20050114_130126.pkl,0,,,,
2852,1137_028520_20050114_131507_20050114_135054.pkl,1137_028521_20050114_140507_20050114_144026.pkl,0,,,,
2853,1137_028530_20050114_145437_20050114_152923.pkl,1137_028531_20050114_154437_20050114_161856.pkl,1,14-01-2005 16:22,,,
2854,1137_028540_20050114_163337_20050114_170753.pkl,1137_028541_20050114_172307_20050114_175655.pkl,1,14-01-2005 17:08,,,
2855,1137_028550_20050114_181207_20050114_184555.pkl,1137_028551_20050114_190137_20050114_193454.pkl,0,,,,
2857,1137_028570_20050114_212807_20050114_220154.pkl,1137_028571_20050114_221711_20050114_225023.pkl,0,,,,
2858,1137_028580_20050114_230537_20050114_233924.pkl,1137_028581_20050114_235507_20050115_002825.pkl,0,,,,
2859,1137_028590_20050115_004407_20050115_011753.pkl,1137_028591_20050115_013307_20050115_020724.pkl,0,,,,
2860,1137_028600_20050115_022207_20050115_025652.pkl,1137_028601_20050115_031137_20050115_034622.pkl,0,,,,
2861,1137_028610_20050115_040107_20050115_043652.pkl,1137_028611_20050115_045037_20050115_052652.pkl,1,15-01-2005 05:00,,,
2862,1137_028620_20050115_053937_20050115_061655.pkl,1137_028621_20050115_062937_20050115_070722.pkl,1,15-01-2005 07:46,,,
2863,1137_028630_20050115_071907_20050115_075753.pkl,1137_028631_20050115_080907_20050115_084752.pkl,0,,,,
2864,1137_028640_20050115_085907_20050115_093826.pkl,1137_028641_20050115_094937_20050115_102755.pkl,0,,,,
2865,1137_028650_20050115_103937_20050115_111752.pkl,1137_028651_20050115_113007_20050115_120723.pkl,1,15-01-2005 11:40,,,
2866,1137_028660_20050115_122037_20050115_125725.pkl,1137_028661_20050115_131037_20050115_134626.pkl,1,15-01-2005 13:47,,,
2867,1137_028670_20050115_140037_20050115_143553.pkl,1137_028671_20050115_145037_20050115_152526.pkl,0,,,,
2868,1137_028680_20050115_154007_20050115_161424.pkl,1137_028681_20050115_162937_20050115_170323.pkl,0,,,,
2869,1137_028690_20050115_171837_20050115_175253.pkl,1137_028691_20050115_180807_20050115_184154.pkl,0,,,,
2870,1137_028700_20050115_185707_20050115_193052.pkl,1137_028701_20050115_194607_20050115_201925.pkl,0,,,,
2871,1137_028710_20050115_203437_20050115_210824.pkl,1137_028711_20050115_212337_20050115_215723.pkl,0,,,,
2872,1137_028720_20050115_221237_20050115_224624.pkl,1137_028721_20050115_230137_20050115_233524.pkl,0,,,,
2873,1137_028730_20050115_235037_20050116_002422.pkl,1137_028731_20050116_003937_20050116_011325.pkl,0,,,,
2874,1137_028740_20050116_012837_20050116_020253.pkl,1137_028741_20050116_021807_20050116_025224.pkl,0,,,,
2875,1137_028750_20050116_030707_20050116_034225.pkl,1137_028751_20050116_035637_20050116_043226.pkl,0,,,,
2876,1137_028760_20050116_044607_20050116_052225.pkl,1137_028761_20050116_053537_20050116_061255.pkl,0,,,,
2877,1137_028770_20050116_062507_20050116_070255.pkl,1137_028771_20050116_071507_20050116_075325.pkl,1,16-01-2005 08:25,,,
2878,1137_028780_20050116_080437_20050116_084354.pkl,1137_028781_20050116_085507_20050116_093355.pkl,0,,,,
2879,1137_028790_20050116_094507_20050116_102352.pkl,1137_028791_20050116_103537_20050116_111326.pkl,0,,,,
2880,1137_028800_20050116_112537_20050116_120322.pkl,1137_028801_20050116_121607_20050116_125256.pkl,0,,,,
2881,1137_028810_20050116_130607_20050116_134222.pkl,1137_028811_20050116_135637_20050116_143123.pkl,0,,,,
2882,1137_028820_20050116_144607_20050116_152055.pkl,1137_028821_20050116_153607_20050116_160953.pkl,1,16-01-2005 16:20,,,
2883,1137_028830_20050116_162507_20050116_165926.pkl,1137_028831_20050116_171437_20050116_174824.pkl,0,,,,
2886,1137_028860_20050116_211937_20050116_215323.pkl,1137_028861_20050116_220837_20050116_224153.pkl,1,16-01-2005 22:47,,,
2887,1137_028870_20050116_225707_20050116_233055.pkl,1137_028871_20050116_234637_20050117_001956.pkl,1,17-01-2005 00:50,,,
2888,1137_028880_20050117_003507_20050117_010924.pkl,1137_028881_20050117_012437_20050117_015824.pkl,1,17-01-2005 02:45,,,
2889,1137_028890_20050117_021337_20050117_024823.pkl,1137_028891_20050117_030307_20050117_033752.pkl,1,17-01-2005 02:45,,,
2890,1137_028900_20050117_035207_20050117_042756.pkl,1137_028901_20050117_044137_20050117_051752.pkl,1,17-01-2005 05:43,,,
2891,1137_028910_20050117_053107_20050117_060823.pkl,1137_028911_20050117_062107_20050117_065853.pkl,0,,,,
2892,1137_028920_20050117_071037_20050117_074852.pkl,1137_028921_20050117_080037_20050117_083922.pkl,0,,,,
2893,1137_028930_20050117_085037_20050117_092923.pkl,1137_028931_20050117_094037_20050117_101923.pkl,1,17-01-2005 10:50,,,
2894,1137_028940_20050117_103107_20050117_110923.pkl,1137_028941_20050117_112137_20050117_115854.pkl,0,,,,
2895,1137_028950_20050117_121137_20050117_124824.pkl,1137_028951_20050117_130207_20050117_133755.pkl,0,,,,
2896,1137_028960_20050117_135207_20050117_142722.pkl,1137_028961_20050117_144207_20050117_151625.pkl,0,,,,
2897,1137_028970_20050117_153137_20050117_160552.pkl,1137_028971_20050117_162107_20050117_165455.pkl,0,,,,
2898,1137_028980_20050117_171007_20050117_174422.pkl,1137_028981_20050117_175937_20050117_183255.pkl,0,,,,
2899,1137_028990_20050117_184837_20050117_192223.pkl,1137_028991_20050117_193737_20050117_201054.pkl,0,,,,
2900,1137_029000_20050117_202607_20050117_205953.pkl,1137_029001_20050117_211507_20050117_214855.pkl,0,,,,
2901,1137_029010_20050117_220407_20050117_223754.pkl,1137_029011_20050117_225307_20050117_232654.pkl,0,,,,
2902,1137_029020_20050117_234207_20050118_001554.pkl,1137_029021_20050118_003107_20050118_010454.pkl,0,,,,
2903,1137_029030_20050118_012007_20050118_015424.pkl,1137_029031_20050118_020937_20050118_024352.pkl,1,18-01-2005 02:36,,,
2904,1137_029040_20050118_025837_20050118_033355.pkl,1137_029041_20050118_034807_20050118_042325.pkl,1,18-01-2005 04:26,,,
2905,1137_029050_20050118_043707_20050118_051355.pkl,1137_029051_20050118_052707_20050118_060354.pkl,1,18-01-2005 05:50,,,
2906,1137_029060_20050118_061637_20050118_065424.pkl,1137_029061_20050118_070607_20050118_074425.pkl,1,18-01-2005 06:59,,,
2907,1137_029070_20050118_075607_20050118_083455.pkl,1137_029071_20050118_084607_20050118_092455.pkl,1,18-01-2005 08:36,,,
2908,1137_029080_20050118_093607_20050118_101522.pkl,1137_029081_20050118_102637_20050118_110453.pkl,0,,,,
2909,1137_029090_20050118_111707_20050118_115119.pkl,1137_029091_20050118_120737_20050118_124354.pkl,0,,,,
2910,1137_029100_20050118_125737_20050118_133352.pkl,1137_029101_20050118_134737_20050118_142256.pkl,1,18-01-2005 14:09,,,
2911,1137_029110_20050118_143737_20050118_151225.pkl,1137_029111_20050118_152707_20050118_160123.pkl,1,18-01-2005 15:30,,,
2912,1137_029120_20050118_161637_20050118_165054.pkl,1137_029121_20050118_170607_20050118_173953.pkl,0,,,,
2913,1137_029130_20050118_175507_20050118_182855.pkl,1137_029131_20050118_184407_20050118_191754.pkl,0,,,,
2914,1137_029140_20050118_193307_20050118_200655.pkl,1137_029141_20050118_202207_20050118_205554.pkl,1,18-01-2005 21:20,,,
2915,1137_029150_20050118_211107_20050118_214425.pkl,1137_029151_20050118_220011_20050118_223326.pkl,0,,,,
2916,1137_029160_20050118_224837_20050118_232225.pkl,1137_029161_20050118_233807_20050119_001126.pkl,0,,,,
2917,1137_029170_20050119_002637_20050119_010055.pkl,1137_029171_20050119_011607_20050119_014955.pkl,0,,,,
2918,1137_029180_20050119_020507_20050119_023923.pkl,1137_029181_20050119_025437_20050119_032923.pkl,0,,,,
2919,1137_029190_20050119_034337_20050119_041925.pkl,1137_029191_20050119_043307_20050119_050926.pkl,0,,,,
2920,1137_029200_20050119_052237_20050119_055924.pkl,1137_029201_20050119_061207_20050119_064952.pkl,1,19-01-2005 06:11,,,
2921,1137_029210_20050119_070137_20050119_074025.pkl,1137_029211_20050119_075137_20050119_083024.pkl,0,,,,
2922,1137_029220_20050119_084137_20050119_092053.pkl,1137_029221_20050119_093207_20050119_101054.pkl,0,,,,
2923,1137_029230_20050119_102207_20050119_110054.pkl,1137_029231_20050119_111237_20050119_115022.pkl,0,,,,
2924,1137_029240_20050119_120307_20050119_123955.pkl,1137_029241_20050119_125307_20050119_132924.pkl,1,19-01-2005 13:51,,,
2925,1137_029250_20050119_134307_20050119_141853.pkl,1137_029251_20050119_143307_20050119_150755.pkl,0,,,,
2926,1137_029260_20050119_152237_20050119_155723.pkl,1137_029261_20050119_161237_20050119_164626.pkl,1,19-01-2005 16:09,,,
2927,1137_029270_20050119_170137_20050119_173526.pkl,1137_029271_20050119_175107_20050119_182425.pkl,1,19-01-2005 17:32,,,
2930,1137_029300_20050119_215537_20050119_222925.pkl,1137_029301_20050119_224437_20050119_231824.pkl,0,,,,
2931,1137_029310_20050119_233337_20050120_000724.pkl,1137_029311_20050120_002237_20050120_005624.pkl,0,,,,
2932,1137_029320_20050120_011137_20050120_014552.pkl,1137_029321_20050120_020107_20050120_023525.pkl,1,20-01-2005 02:59,,,
2933,1137_029330_20050120_025007_20050120_032452.pkl,1137_029331_20050120_033937_20050120_041456.pkl,0,,,,
2934,1137_029340_20050120_042837_20050120_050454.pkl,1137_029341_20050120_051807_20050120_055455.pkl,0,,,,
2935,1137_029350_20050120_060737_20050120_064523.pkl,1137_029351_20050120_065737_20050120_073555.pkl,0,,,,
2936,1137_029360_20050120_074707_20050120_082625.pkl,1137_029361_20050120_083737_20050120_091625.pkl,0,,,,
2937,1137_029370_20050120_092737_20050120_100623.pkl,1137_029371_20050120_101807_20050120_105624.pkl,0,,,,
2938,1137_029380_20050120_110807_20050120_114552.pkl,1137_029381_20050120_115837_20050120_123523.pkl,0,,,,
2939,1137_029390_20050120_124837_20050120_132452.pkl,1137_029391_20050120_133907_20050120_141426.pkl,1,20-01-2005 13:58,,,
2940,1137_029400_20050120_142837_20050120_150352.pkl,1137_029401_20050120_151837_20050120_155256.pkl,1,20-01-2005 16:23,,,
2941,1137_029410_20050120_160807_20050120_164224.pkl,1137_029411_20050120_165737_20050120_173126.pkl,1,20-01-2005 16:47,,,
2942,1137_029420_20050120_174637_20050120_182024.pkl,1137_029421_20050120_183537_20050120_190922.pkl,1,20-01-2005 18:56,,,
2943,1137_029430_20050120_192437_20050120_195824.pkl,1137_029431_20050120_201337_20050120_204723.pkl,1,20-01-2005 20:20,,,
2944,1137_029440_20050120_210237_20050120_213555.pkl,1137_029441_20050120_215137_20050120_222453.pkl,1,20-01-2005 22:18,,,
2945,1137_029450_20050120_224007_20050120_231354.pkl,1137_029451_20050120_232907_20050121_000254.pkl,0,,,,
2946,1137_029460_20050121_001807_20050121_005223.pkl,1137_029461_20050121_010737_20050121_014124.pkl,1,21-01-2005 01:16,,,
2947,1137_029470_20050121_015637_20050121_023052.pkl,1137_029471_20050121_024607_20050121_032026.pkl,0,,,,
2948,1137_029480_20050121_033507_20050121_041025.pkl,1137_029481_20050121_042437_20050121_050023.pkl,1,21-01-2005 04:30,,,
2949,1137_029490_20050121_051407_20050121_055054.pkl,1137_029491_20050121_060337_20050121_064053.pkl,0,,,,
2950,1137_029500_20050121_065307_20050121_073124.pkl,1137_029501_20050121_074307_20050121_082154.pkl,0,,,,
2951,1137_029510_20050121_083307_20050121_091153.pkl,1137_029511_20050121_092307_20050121_100154.pkl,0,,,,
2952,1137_029520_20050121_101337_20050121_105155.pkl,1137_029521_20050121_110407_20050121_114124.pkl,0,,,,
2953,1137_029530_20050121_115407_20050121_123124.pkl,1137_029531_20050121_124437_20050121_132055.pkl,1,21-01-2005 12:45,,,
2954,1137_029540_20050121_133437_20050121_141023.pkl,1137_029541_20050121_142437_20050121_145923.pkl,1,21-01-2005 14:28,,,
